food_pinching_effeciency,individual,chopstick_length
19.55,1,180
27.24,2,180
28.76,3,180
31.19,4,180
21.91,5,180
27.62,6,180
29.46,7,180
26.35,8,180
26.69,9,180
30.22,10,180
27.81,11,180
23.46,12,180
23.64,13,180
27.85,14,180
20.62,15,180
25.35,16,180
28,17,180
23.49,18,180
27.77,19,180
18.48,20,180
23.01,21,180
22.66,22,180
23.24,23,180
22.82,24,180
17.94,25,180
26.67,26,180
28.98,27,180
21.48,28,180
14.47,29,180
28.29,30,180
27.97,31,180
23.53,1,210
26.39,2,210
30.9,3,210
26.05,4,210
23.27,5,210
29.17,6,210
30.93,7,210
17.55,8,210
32.55,9,210
28.87,10,210
26.53,11,210
25.26,12,210
25.65,13,210
29.39,14,210
23.26,15,210
24.77,16,210
25.42,17,210
23.65,18,210
32.22,19,210
18.86,20,210
21.75,21,210
23.07,22,210
22.3,23,210
27.04,24,210
22.24,25,210
24.87,26,210
30.85,27,210
21.15,28,210
16.47,29,210
29.05,30,210
26.99,31,210
21.34,1,240
29.94,2,240
32.95,3,240
29.4,4,240
22.32,5,240
28.36,6,240
28.49,7,240
22.24,8,240
36.15,9,240
30.62,10,240
26.53,11,240
27.95,12,240
31.49,13,240
30.24,14,240
24.8,15,240
26.43,16,240
29.35,17,240
21.15,18,240
29.18,19,240
21.6,20,240
25.39,21,240
22.26,22,240
24.85,23,240
24.56,24,240
16.35,25,240
22.96,26,240
25.82,27,240
19.46,28,240
23.6,29,240
33.1,30,240
27.13,31,240
24.4,1,270
25.88,2,270
27.97,3,270
24.54,4,270
22.66,5,270
28.94,6,270
30.72,7,270
16.7,8,270
30.27,9,270
26.29,10,270
22.33,11,270
24.85,12,270
24.33,13,270
24.5,14,270
22.67,15,270
22.28,16,270
23.8,17,270
25.36,18,270
29.5,19,270
20.19,20,270
20.14,21,270
21.09,22,270
24.78,23,270
24.74,24,270
22.73,25,270
21.08,26,270
25.7,27,270
19.79,28,270
16.82,29,270
31.15,30,270
27.84,31,270
22.5,1,300
23.1,2,300
28.26,3,300
25.55,4,300
16.71,5,300
27.88,6,300
31.07,7,300
23.44,8,300
28.82,9,300
27.77,10,300
24.54,11,300
24.55,12,300
27.78,13,300
26.14,14,300
23.44,15,300
26.44,16,300
27.47,17,300
24.94,18,300
29.68,19,300
24.33,20,300
25.42,21,300
24.64,22,300
22.78,23,300
26.5,24,300
18.71,25,300
22.86,26,300
25.09,27,300
19.72,28,300
17.05,29,300
30.91,30,300
25.92,31,300
21.32,1,330
26.18,2,330
25.93,3,330
28.61,4,330
20.54,5,330
26.44,6,330
29.36,7,330
19.77,8,330
31.69,9,330
24.64,10,330
22.09,11,330
23.42,12,330
28.63,13,330
26.3,14,330
22.89,15,330
22.68,16,330
30.92,17,330
20.74,18,330
27.24,19,330
17.12,20,330
23.63,21,330
20.91,22,330
23.49,23,330
24.86,24,330
16.28,25,330
21.52,26,330
27.22,27,330
17.41,28,330
16.42,29,330
28.22,30,330
27.52,31,330
